PremiumUser1|1|Colombia|Ciudad P1|2025-01-01||300010203,300050106,300010205,300040102,300020202
PremiumUser2|1|Colombia|Ciudad P2|2025-01-02|PremiumUser2|300020103,300040105,300050104,300050102,300020206
PremiumUser3|1|Colombia|Ciudad P3|2025-01-03||300010201,300010204,300050102,300010104,300050105
PremiumUser4|1|Colombia|Ciudad P4|2025-01-04|PremiumUser4|300020201,300010205,300020101,300040106,300010106
StandardUser1|0|Perú|Ciudad S1|2025-02-01||300010204,300040102,300050106
StandardUser2|0|Perú|Ciudad S2|2025-02-02||300010206,300010103,300030105
StandardUser3|0|Perú|Ciudad S3|2025-02-03||300010106,300030106,300020101
StandardUser4|0|Perú|Ciudad S4|2025-02-04||300040105,300010201,300020205
StandardUser5|0|Perú|Ciudad S5|2025-02-05||300020203,300020102,300040106
StandardUser6|0|Perú|Ciudad S6|2025-02-06||300010206,300010103,300020102
